,循环号,放电容量/Ah,矢量
120,120.0,0.795449043815057,"[0, 1.1044444444444446, 0.16666666666666666, 1.0566666666666666, 0.16666666666666666, 0.795449043815057]"
121,121.0,0.7926652142338417,"[0, 1.1030555555555557, 0.16666666666666666, 1.0561111111111112, 0.16666666666666666, 0.7926652142338417]"
122,122.0,0.8086419753086416,"[0, 1.1025, 0.16666666666666666, 1.058888888888889, 0.16666666666666666, 0.8086419753086416]"
123,123.0,0.8160856935366736,"[0, 1.0930555555555554, 0.16666666666666666, 1.0602777777777779, 0.16666666666666666, 0.8160856935366736]"
124,124.0,0.8175381263616552,"[0, 1.0941666666666665, 0.16666666666666666, 1.0605555555555557, 0.16666666666666666, 0.8175381263616552]"
125,125.0,0.8179012345679011,"[0, 1.093611111111111, 0.16666666666666666, 1.0605555555555557, 0.16666666666666666, 0.8179012345679011]"
126,126.0,0.8176591624304042,"[0, 1.0941666666666665, 0.16666666666666666, 1.0605555555555557, 0.16666666666666666, 0.8176591624304042]"
127,127.0,0.8160856935366736,"[0, 1.0941666666666665, 0.16666666666666666, 1.0602777777777779, 0.16666666666666666, 0.8160856935366736]"
128,128.0,0.815117404986685,"[0, 1.0941666666666665, 0.16666666666666666, 1.06, 0.16666666666666666, 0.815117404986685]"
129,129.0,0.8136044541273302,"[0, 1.093888888888889, 0.16666666666666666, 1.0597222222222222, 0.16666666666666666, 0.8136044541273302]"
130,130.0,0.8127572016460896,"[0, 1.093888888888889, 0.16666666666666666, 1.0597222222222222, 0.16666666666666666, 0.8127572016460896]"
131,131.0,0.8112442507867348,"[0, 1.093888888888889, 0.16666666666666666, 1.0594444444444444, 0.16666666666666666, 0.8112442507867348]"
132,132.0,0.8106995884773669,"[0, 1.093611111111111, 0.16666666666666666, 1.0594444444444444, 0.16666666666666666, 0.8106995884773669]"
133,133.0,0.8095497458242553,"[0, 1.093611111111111, 0.16666666666666666, 1.0591666666666668, 0.16666666666666666, 0.8095497458242553]"
134,134.0,0.8094892277898813,"[0, 1.0922222222222222, 0.16666666666666666, 1.0594444444444444, 0.16666666666666666, 0.8094892277898813]"
135,135.0,0.8085814572742676,"[0, 1.0927777777777776, 0.16666666666666666, 1.0591666666666668, 0.16666666666666666, 0.8085814572742676]"
136,136.0,0.8076131687242798,"[0, 1.0922222222222222, 0.16666666666666666, 1.058888888888889, 0.16666666666666666, 0.8076131687242798]"
137,137.0,0.8058581457274263,"[0, 1.0922222222222222, 0.16666666666666666, 1.058888888888889, 0.16666666666666666, 0.8058581457274263]"
138,138.0,0.8051319293149364,"[0, 1.0927777777777776, 0.16666666666666666, 1.0586111111111112, 0.16666666666666666, 0.8051319293149364]"
139,139.0,0.7919995158557249,"[0, 1.0925, 0.16666666666666666, 1.0561111111111112, 0.16666666666666666, 0.7919995158557249]"
140,140.0,0.7775357056402807,"[0, 1.1025, 0.16666666666666666, 1.0538888888888889, 0.16666666666666666, 0.7775357056402807]"
141,141.0,0.7724521907528441,"[0, 1.1011111111111112, 0.16666666666666666, 1.0527777777777778, 0.16666666666666666, 0.7724521907528441]"
142,142.0,0.795449043815057,"[0, 1.0925, 0.16666666666666666, 1.0569444444444445, 0.16666666666666666, 0.795449043815057]"
143,143.0,0.7997458242556279,"[0, 1.0902777777777777, 0.16666666666666666, 1.0575, 0.16666666666666666, 0.7997458242556279]"
144,144.0,0.7995642701525059,"[0, 1.0902777777777777, 0.16666666666666666, 1.057777777777778, 0.16666666666666666, 0.7995642701525059]"
145,145.0,0.7998668603243768,"[0, 1.0911111111111111, 0.16666666666666666, 1.057777777777778, 0.16666666666666666, 0.7998668603243768]"
146,146.0,0.7985354635681423,"[0, 1.0911111111111111, 0.16666666666666666, 1.0575, 0.16666666666666666, 0.7985354635681423]"
147,147.0,0.7969619946744126,"[0, 1.0911111111111111, 0.16666666666666666, 1.0572222222222223, 0.16666666666666666, 0.7969619946744126]"
148,148.0,0.7748729121278135,"[0, 1.1008333333333333, 0.16666666666666666, 1.0533333333333335, 0.16666666666666666, 0.7748729121278135]"
149,149.0,0.7688211086903891,"[0, 1.1, 0.16666666666666666, 1.0522222222222222, 0.16666666666666666, 0.7688211086903891]"
150,150.0,0.765129508593561,"[0, 1.1, 0.16666666666666666, 1.0516666666666667, 0.16666666666666666, 0.765129508593561]"
151,151.0,0.7799564270152501,"[0, 1.0994444444444444, 0.16666666666666666, 1.0541666666666667, 0.16666666666666666, 0.7799564270152501]"
152,152.0,0.7890946502057608,"[0, 1.0888888888888888, 0.16666666666666666, 1.0558333333333334, 0.16666666666666666, 0.7890946502057608]"
153,153.0,0.7909101912369891,"[0, 1.0902777777777777, 0.16666666666666666, 1.0561111111111112, 0.16666666666666666, 0.7909101912369891]"
154,154.0,0.7912732994432341,"[0, 1.0899999999999999, 0.16666666666666666, 1.0561111111111112, 0.16666666666666666, 0.7912732994432341]"
155,155.0,0.7895787944807546,"[0, 1.0902777777777777, 0.16666666666666666, 1.0561111111111112, 0.16666666666666666, 0.7895787944807546]"
156,156.0,0.7889736141370127,"[0, 1.0902777777777777, 0.16666666666666666, 1.0558333333333334, 0.16666666666666666, 0.7889736141370127]"
157,157.0,0.788065843621399,"[0, 1.0899999999999999, 0.16666666666666666, 1.0558333333333334, 0.16666666666666666, 0.788065843621399]"
158,158.0,0.7703340595497457,"[0, 1.096111111111111, 0.16666666666666666, 1.0527777777777778, 0.16666666666666666, 0.7703340595497457]"
159,159.0,0.7634955216654555,"[0, 1.0977777777777777, 0.16666666666666666, 1.0516666666666667, 0.16666666666666666, 0.7634955216654555]"
160,160.0,0.7647058823529411,"[0, 1.0975, 0.16666666666666666, 1.0516666666666667, 0.16666666666666666, 0.7647058823529411]"
161,161.0,0.7823166303558455,"[0, 1.0863888888888888, 0.16666666666666666, 1.0547222222222223, 0.16666666666666666, 0.7823166303558455]"
162,162.0,0.7826797385620905,"[0, 1.088611111111111, 0.16666666666666666, 1.055, 0.16666666666666666, 0.7826797385620905]"
163,163.0,0.7834664730089562,"[0, 1.088611111111111, 0.16666666666666666, 1.0552777777777778, 0.16666666666666666, 0.7834664730089562]"
164,164.0,0.784011135318325,"[0, 1.0880555555555556, 0.16666666666666666, 1.0552777777777778, 0.16666666666666666, 0.784011135318325]"
165,165.0,0.7838295812152012,"[0, 1.0880555555555556, 0.16666666666666666, 1.0552777777777778, 0.16666666666666666, 0.7838295812152012]"
166,166.0,0.7821955942870966,"[0, 1.0883333333333332, 0.16666666666666666, 1.055, 0.16666666666666666, 0.7821955942870966]"
167,167.0,0.7812878237714838,"[0, 1.088611111111111, 0.16666666666666666, 1.055, 0.16666666666666666, 0.7812878237714838]"
168,168.0,0.7802590171871211,"[0, 1.0883333333333332, 0.16666666666666666, 1.0547222222222223, 0.16666666666666666, 0.7802590171871211]"
169,169.0,0.7788671023965135,"[0, 1.0883333333333332, 0.16666666666666666, 1.0544444444444445, 0.16666666666666666, 0.7788671023965135]"
170,170.0,0.7783224400871465,"[0, 1.0883333333333332, 0.16666666666666666, 1.0544444444444445, 0.16666666666666666, 0.7783224400871465]"
171,171.0,0.7777777777777786,"[0, 1.0880555555555556, 0.16666666666666666, 1.0544444444444445, 0.16666666666666666, 0.7777777777777786]"
172,172.0,0.7782014040183967,"[0, 1.087222222222222, 0.16666666666666666, 1.0544444444444445, 0.16666666666666666, 0.7782014040183967]"
173,173.0,0.7780803679496495,"[0, 1.0869444444444443, 0.16666666666666666, 1.0544444444444445, 0.16666666666666666, 0.7780803679496495]"
174,174.0,0.7775962236746556,"[0, 1.087222222222222, 0.16666666666666666, 1.0541666666666667, 0.16666666666666666, 0.7775962236746556]"
175,175.0,0.7759017187121762,"[0, 1.087222222222222, 0.16666666666666666, 1.0538888888888889, 0.16666666666666666, 0.7759017187121762]"
176,176.0,0.7752965383684334,"[0, 1.0869444444444443, 0.16666666666666666, 1.0538888888888889, 0.16666666666666666, 0.7752965383684334]"
177,177.0,0.7735415153715799,"[0, 1.0875, 0.16666666666666666, 1.053611111111111, 0.16666666666666666, 0.7735415153715799]"
178,178.0,0.7623456790123448,"[0, 1.0883333333333332, 0.16666666666666666, 1.051388888888889, 0.16666666666666666, 0.7623456790123448]"
